name,sire,dam,damsire,fee_usd,fee_terms,fee_qualifier
Beau Liam,Liam's Map,Beauty Bright,Harlan's Holiday,7500,,
Cairo Prince,Pioneerof the Nile,Holy Bubbette,Holy Bull,10000,,
Complexity,Maclean's Music,Goldfield,Yes It's True,20000,,
Divisidero,Kitten's Joy,Madame Du Lac,Gilded Time,3500,,
Girvin,Tale of Ekati,Catch the Moon,Malibu Moon,30000,,
Happy Saver,Super Saver,Happy Week,Distorted Humor,7500,,
Highly Motivated,Into Mischief,Strong Incentive,Warrior's Reward,7500,,
Jonathan's Way,Good Magic,Nicanor Missile,Air Force Blue,8500,,
Mage,Good Magic,Puca,Big Brown,15000,,
Mystik Dan,Goldencents,Ma' Am,Colonel John,15000,,
Upstart,Flatter,Party Silks,Touch Gold,25000,,
