name,sire,dam,damsire,fee_usd,fee_terms,fee_qualifier
Blazing Sevens,Good Magic,,,10000,S&N,
Flameaway,Scat Daddy,Vulcan Rose,Vindication,10000,S&N,
Dialed In,Mineshaft,Miss Doolittle,Storm Cat,10000,S&N,
Bee Jersey,Jersey Town,,,5000,S&N,
Country House,Lookin At Lucky,Quake Lake,War Front,5000,S&N,
Gufo,Declaration Of War,,,5000,S&N,
Modernist,Uncle Mo,Symbolic Gesture,Empire Maker,5000,S&N,
Shirl's Speight,Speightstown,,,5000,S&N,
Tale Of Ekati,Tale Of The Cat,,,5000,S&N,
Tale Of Silence,Tale Of The Cat,,,2500,S&N,
Title Ready,More Than Ready,,,2500,S&N,
