name,sire,dam,damsire,fee_usd,fee_terms,fee_qualifier
Cody's Wish,Curlin,Dance Card,Tapit,60000,,
Essential Quality,Tapit,Delightful Quality,Elusive Quality,25000,,
First Mission,Into Mischief,Tulira Castle,Street Cry (Ire),10000,,
Hard Spun,Danzig,Turkish Tryst,Turkoman,20000,,
Highland Falls,Curlin,Forty Greeneyes,Forty Niner,10000,,
Maxfield,Street Sense,Velvety,Bernardini,50000,,
Midshipman,Unbridled's Song,Fleet Lady,Avenue of Flags,15000,,
Mystic Guide,Ghostzapper,Music Note,A.P. Indy,7500,,
Nyquist,Uncle Mo,Seeking Gabrielle,Forestry,175000,,
Proxy,Tapit,Panty Raid,Include,12500,,
Speaker's Corner,Street Sense,Al Andalyya,Kingmambo,10000,,
Street Sense,Street Cry (Ire),Bedazzle,Dixieland Band,40000,,
