name,sire,dam,damsire,fee_usd,fee_terms,fee_qualifier
Charge It,Tapit,I'll Take Charge,Indian Charlie,12500,LFSN,
Drain The Clock,Maclean's Music,Manki,Mr. Greeley,10000,LFSN,
Karakontie,Bernstein,Sun Is Up,Lycius,15000,LFSN,
Locked,Gun Runner,Luna Rosa,War Front,35000,LFSN,
Mckinzie,Street Sense,Runway Model,Petionville,75000,LFSN,
Muth,Good Magic,Hoppa,Uncle Mo,30000,LFSN,
Olympiad,Speightstown,Tokyo Time,Medaglia d'Oro,20000,LFSN,
Raging Bull (Fr),Dark Angel (Ire),Rosa Bonheur,Rock of Gibraltar (Ire),7500,LFSN,
Seize The Grey,Arrogate,Smart Shopping,Smart Strike,25000,LFSN,
Tapit,Pulpit,Tap Your Heels,Unbridled,185000,LFSN,
Tapit Trice,Tapit,Danzatrice,Dunkirk,10000,LFSN,
