name,sire,dam,damsire,fee_usd,fee_terms,fee_qualifier
Arabian Knight,Uncle Mo,Borealis Night,Astrology,30000,LFSN,
Army Mule,Friesan Fire,Crafty Toast,Crafty Prospector,25000,LFSN,
Barnes,Into Mischief,All American Dream,American Pharoah,15000,LFSN,
Charlatan,Speightstown,Authenticity,Quiet American,25000,LFSN,
Curlin,Smart Strike,Sherriff's Deputy,Deputy Minister,225000,LFSN,
Good Magic,Curlin,Glinda the Good,Hard Spun,125000,LFSN,
Kantharos,Lion Heart,Contessa Halo,Southern Halo,10000,LFSN,
Loggins,Ghostzapper,Beyond Blame,Blame,5000,LFSN,
Maclean's Music,Distorted Humor,Forest Music,Unbridled,30000,LFSN,
Violence,Medaglia d'Oro,Violent Beauty,Gone West,30000,LFSN,
