name,sire,dam,damsire,fee_usd,fee_terms,fee_qualifier
Flightline,Tapit,Feathered,Indian Charlie,125000,LFSN,
Quality Road,Elusive Quality,Kobla,Strawberry Road (Aus),100000,LFSN,
Game Winner,Candy Ride (Arg),Indyan Giving,A.P. Indy,20000,LFSN,
Twirling Candy,Candy Ride (Arg),House Of Danzing,Chester House,75000,LFSN,
Candy Ride (Arg),Ride The Rails,Candy Girl (Arg),Candy Stripes,60000,LFSN,
Liam's Map,Unbridled's Song,Miss Macy Sue,Trippi,50000,LFSN,
City Of Light,Quality Road,Paris Notion,Dehere,35000,LFSN,
Arcangelo,Arrogate,Modeling,Tapit,30000,LFSN,
Up To The Mark,Not This Time,Belle's Finale,Ghostzapper,25000,LFSN,
Raging Torrent,Maximus Mischief,Violent Wave,Violence,15000,LFSN,
Carl Spackler (Ire),Lope De Vega (Ire),Zindaya,More Than Ready,15000,LFSN,
Connect,Curlin,Bullville Belle,Holy Bull,10000,LFSN,
More Than Looks,More Than Ready,Ladies' Privilege,Harlan's Holiday,10000,LFSN,
Tonalist,Tapit,Settling Mist,Pleasant Colony,10000,LFSN,
Union Rags,Dixie Union,Tempo,Gone West,10000,LFSN,
Honor A. P.,Honor Code,Hollywood Story,Wild Rush,7500,LFSN,
Senor Buscador,Mineshaft,Rose's Desert,Desert God,7500,LFSN,
The Factor,War Front,Greyciousness,Miswaki,5000,LFSN,
Mineshaft,A.P. Indy,Prospectors Delite,Mr. Prospector,,,
