farm,name,year_of_birth,color,height_hands,sire,dam,damsire,fee_usd,fee_terms,fee_qualifier,entered_stud_year,nominations,source_url,bloodhorse_url
Taylor Made Stallions,Angel of Empire,2020,Bay,,Classic Empire,Armony's Angel,To Honor and Serve,5000,S&N,,2025,,https://taylormadestallions.com/horse/angel-of-empire/,https://www.bloodhorse.com/stallion-register/stallions/172967/angel-of-empire
Claiborne Farm,Annapolis,2019,Bay,,War Front,Noble Maz,Lost Soldier,12500,LFSN,,2024,,https://claibornefarm.com/stallions/annapolis/,https://www.bloodhorse.com/stallion-register/stallions/172786/annapolis
Hill 'n' Dale Farms at Xalapa,Arabian Knight,2020,Bay,,Uncle Mo,Borealis Night,Astrology,30000,LFSN,,2025,,https://www.hillndalefarms.com/arabian-knight,https://www.bloodhorse.com/stallion-register/stallions/172918/arabian-knight
Spendthrift Farm,Arabian Lion,2020,Chestnut,16 1/2h,Justify,Unbound,Distorted Humor,15000,S&N,,2024,"Breeders' Cup, KTDF",https://www.spendthriftfarm.com/stallions/arabian-lion/,https://www.bloodhorse.com/stallion-register/stallions/172536/arabian-lion
Lane's End,Arcangelo,2020,Gray/Roan,,Arrogate,Modeling,Tapit,30000,LFSN,,2024,,https://lanesend.com/arcangelo,https://www.bloodhorse.com/stallion-register/stallions/172555/arcangelo
Hill 'n' Dale Farms at Xalapa,Army Mule,2014,Bay,,Friesan Fire,Crafty Toast,Crafty Prospector,25000,LFSN,,2019,,https://www.hillndalefarms.com/army-mule,https://www.bloodhorse.com/stallion-register/stallions/170575/army-mule
Taylor Made Stallions,Arthur's Ride,2020,Gray/Roan,,Tapit,Points Of Grace,Point Given,12500,S&N,,2026,,https://taylormadestallions.com/horse/arthurs-ride/,https://www.bloodhorse.com/stallion-register/stallions/173287/arthurs-ride
WinStar Farm,Audible,2015,Bay,,Into Mischief,Blue Devil Bel,Gilded Time,7500,S&N,,2020,,https://www.winstarfarm.com/horse/audible/,https://www.bloodhorse.com/stallion-register/stallions/170941/audible
Spendthrift Farm,Authentic,2017,Bay,16.2h,Into Mischief,Flawless,Mr. Greeley,15000,S&N,,2021,"Breeders' Cup, KTDF",https://www.spendthriftfarm.com/stallions/authentic/,https://www.bloodhorse.com/stallion-register/stallions/171601/authentic
Hill 'n' Dale Farms at Xalapa,Barnes,2022,Bay,,Into Mischief,All American Dream,American Pharoah,15000,LFSN,,2026,,https://www.hillndalefarms.com/barnes,https://www.bloodhorse.com/stallion-register/stallions/173400/barnes
Spendthrift Farm,Basin,2017,Bay,16 h,Liam's Map,Appenzell,Johannesburg,5000,S&N,,2022,"Breeders' Cup, KTDF",https://www.spendthriftfarm.com/stallions/basin/,https://www.bloodhorse.com/stallion-register/stallions/171996/basin
Airdrie Stud,Beau Liam,2018,Bay,16.1 1/2,Liam's Map,Beauty Bright,Harlan's Holiday,7500,,,2022,,https://www.airdriestud.com/horse/beau-liam/,https://www.bloodhorse.com/stallion-register/stallions/172151/beau-liam
Claiborne Farm,Blame,2006,Bay,,Arch,Liable,Seeking the Gold,25000,LFSN,,2011,,https://claibornefarm.com/stallions/blame/,https://www.bloodhorse.com/stallion-register/stallions/125939/blame
Spendthrift Farm,Bolt D’oro,2015,Bay,16.2h,Medaglia d'Oro,Globe Trot,A.P. Indy,25000,S&N,,2019,"Breeders' Cup, KTDF",https://www.spendthriftfarm.com/stallions/bolt-doro/,https://www.bloodhorse.com/stallion-register/stallions/170565/bolt-doro
Calumet Farm,Bravazo,2015,Dark Bay/Brown,,Awesome Again,Tiz O'Gold,Cee's Tizzy,5000,,,2021,,https://calumetfarm.com/stallions/,https://www.bloodhorse.com/stallion-register/stallions/171687/bravazo
Claiborne Farm,Bright Future,2019,Chestnut,,Curlin,First Cat,Storm Cat,5000,LFSN,,2025,,https://claibornefarm.com/stallions/bright-future/,https://www.bloodhorse.com/stallion-register/stallions/172956/bright-future
Spendthrift Farm,By My Standards,2016,Bay,16.1 1/2h,Goldencents,A Jealous Woman,Muqtarib,5000,S&N,,2022,"Breeders' Cup, KTDF",https://www.spendthriftfarm.com/stallions/by-my-standards/,https://www.bloodhorse.com/stallion-register/stallions/171658/by-my-standards
Airdrie Stud,Cairo Prince,2011,Gray/Roan,16.1 1/2,Pioneerof the Nile,Holy Bubbette,Holy Bull,10000,,,2015,,https://www.airdriestud.com/horse/cairo-prince/,https://www.bloodhorse.com/stallion-register/stallions/167653/cairo-prince
Lane's End,Candy Ride (Arg),1999,Bay,,Ride The Rails,Candy Girl (Arg),Candy Stripes,60000,LFSN,,2005,,https://lanesend.com/candyride,https://www.bloodhorse.com/stallion-register/stallions/119326/candy-ride-arg
Lane's End,Carl Spackler (Ire),2020,Chestnut,,Lope De Vega (Ire),Zindaya,More Than Ready,15000,LFSN,,2026,,https://lanesend.com/carlspackler,https://www.bloodhorse.com/stallion-register/stallions/173344/carl-spackler-ire
Spendthrift Farm,Chancer Mcpatrick,2022,Bay,,McKinzie,Bernadreamy,Bernardini,25000,S&N,,2026,"Breeders' Cup, KTDF",https://www.spendthriftfarm.com/stallions/chancer-mcpatrick/,https://www.bloodhorse.com/stallion-register/stallions/173276/chancer-mcpatrick
Calumet Farm,Channel Cat,2015,Chestnut,,English Channel,In Return,Charismatic,7500,,,2023,,https://calumetfarm.com/stallions/,https://www.bloodhorse.com/stallion-register/stallions/172105/channel-cat
Gainesway Farm,Charge It,2019,Gray/Roan,,Tapit,I'll Take Charge,Indian Charlie,12500,LFSN,,2025,,https://gainesway.com/stallions/,https://www.bloodhorse.com/stallion-register/stallions/172938/charge-it
Hill 'n' Dale Farms at Xalapa,Charlatan,2017,Chestnut,,Speightstown,Authenticity,Quiet American,25000,LFSN,,2022,,https://www.hillndalefarms.com/charlatan,https://www.bloodhorse.com/stallion-register/stallions/171986/charlatan
Ashford Stud (Coolmore America),Citizen Bull,2022,Bay,,Into Mischief,Beholder,Henny Hughes,45000,,,2026,,https://coolmore.com/en/america/stallion/citizen-bull/,https://www.bloodhorse.com/stallion-register/stallions/173298/citizen-bull
Lane's End,City Of Light,2014,Bay,,Quality Road,Paris Notion,Dehere,35000,LFSN,,2019,,https://lanesend.com/cityoflight,https://www.bloodhorse.com/stallion-register/stallions/170513/city-of-light
Darley America (Godolphin),Cody's Wish,2018,Bay,,Curlin,Dance Card,Tapit,60000,,,2024,,https://www.darleyamerica.com/stallions/our-stallions/codys-wish,https://www.bloodhorse.com/stallion-register/stallions/172550/codys-wish
WinStar Farm,Cogburn,2019,Bay,,Not This Time,In A Jif,Saintly Look,25000,S&N,,2025,,https://www.winstarfarm.com/horse/cogburn/,https://www.bloodhorse.com/stallion-register/stallions/172962/cogburn
