name,year_of_birth,color,height_hands,sire,dam,damsire,fee_usd,fee_terms,fee_qualifier,entered_stud_year,nominations
Into Mischief,2005,Bay,16.1h,Harlan's Holiday,Leslie's Lady,Tricky Creek,250000,S&N,,2009,"Breeders' Cup, KTDF"
Vekoma,2016,Chestnut,16h,Candy Ride (Arg),Mona de Momma,Speightstown,100000,S&N,,2021,"Breeders' Cup, KTDF"
Omaha Beach,2016,Dark Bay,16.1¾h,War Front,Charming,Seeking the Gold,75000,S&N,,2020,"Breeders' Cup, KTDF"
Yaupon,2017,Dark Bay,16.2h,Uncle Mo,Modification,Vindication,60000,S&N,,2022,"Breeders' Cup, KTDF"
Forte,2020,Bay,16.1 1/2h,Violence,Queen Caroline,Blame,35000,S&N,,2024,"Breeders' Cup, KTDF"
National Treasure,2020,Bay,16.2h,Quality Road,Treasure,Medaglia d'Oro,35000,S&N,,2025,"Breeders' Cup, KTDF"
Dornoch,2021,Bay,16.3h,Good Magic,Puca,Big Brown,30000,S&N,,2025,"Breeders' Cup, KTDF"
Goal Oriented,2022,Dark Bay or Brown,16.3,Not This Time,Bizzy Caroline,Afleet Alex,30000,S&N,,2026,"Breeders' Cup, KTDF"
Bolt D’oro,2015,Bay,16.2h,Medaglia d'Oro,Globe Trot,A.P. Indy,25000,S&N,,2019,"Breeders' Cup, KTDF"
Chancer Mcpatrick,2022,Bay,,McKinzie,Bernadreamy,Bernardini,25000,S&N,,2026,"Breeders' Cup, KTDF"
Jackie’s Warrior,2018,Bay,16.2 1/2h,Maclean's Music,Unicorn Girl,A. P. Five Hundred,25000,S&N,,2023,"Breeders' Cup, KTDF"
Taiba,2019,Chestnut,16.1,Gun Runner,Needmore Flattery,Flatter,25000,S&N,,2024,"Breeders' Cup, KTDF"
Maximus Mischief,2016,Bay,16.3h,Into Mischief,Reina Maria,Songandaprayer,20000,S&N,,2020,"Breeders' Cup, KTDF"
Kingsbarns,2020,Bay,16.1h,Uncle Mo,Lady Tapit,Tapit,17500,S&N,,2025,"Breeders' Cup, KTDF"
Arabian Lion,2020,Chestnut,16 1/2h,Justify,Unbound,Distorted Humor,15000,S&N,,2024,"Breeders' Cup, KTDF"
Authentic,2017,Bay,16.2h,Into Mischief,Flawless,Mr. Greeley,15000,S&N,,2021,"Breeders' Cup, KTDF"
Cyberknife,2019,Chestnut,16.1 1/2h,Gun Runner,Awesome Flower,Flower Alley,15000,S&N,,2023,"Breeders' Cup, KTDF"
Goldencents,2010,Bay,16½h,Into Mischief,Golden Works,Banker's Gold,10000,S&N,,2015,"Breeders' Cup, KTDF"
Mitole,2015,Bay,16½h,Eskendereya,Indian Miss,Indian Charlie,10000,S&N,,2020,"Breeders' Cup, KTDF"
Greatest Honour,2018,Bay,16.3h,Tapit,Tiffany's Honour,Street Cry (Ire),7500,S&N,,2023,"Breeders' Cup, KTDF"
Jimmy Creed,2009,Chestnut,16h,Distorted Humor,Hookedonthefeelin,Citidancer,7500,S&N,,2014,"Breeders' Cup, KTDF"
Rock Your World,2018,Dark Bay,16.2h,Candy Ride (Arg),Charm The Maker,Empire Maker,7500,S&N,,2022,"Breeders' Cup, KTDF"
Thousand Words,2017,Bay,16.1½h,Pioneerof the Nile,Pomeroys Pistol,Pomeroy,7500,S&N,,2021,"Breeders' Cup, KTDF"
Vino Rosso,2015,Chestnut,16.1h,Curlin,Mythical Bride,Street Cry (Ire),7500,S&N,,2020,"Breeders' Cup, KTDF"
Zandon,2019,Dark Bay,16.3h,Upstart,Memories Prevail,Creative Cause,7500,S&N,,2024,"Breeders' Cup, KTDF"
Basin,2017,Bay,16 h,Liam's Map,Appenzell,Johannesburg,5000,S&N,,2022,"Breeders' Cup, KTDF"
By My Standards,2016,Bay,16.1 1/2h,Goldencents,A Jealous Woman,Muqtarib,5000,S&N,,2022,"Breeders' Cup, KTDF"
Known Agenda,2018,Chestnut,16.1h,Curlin,Byrama,Byron,5000,S&N,,2022,"Breeders' Cup, KTDF"
Mo Donegal,2019,Bay,16.2h,Uncle Mo,Callingmissbrown,Pulpit,5000,S&N,,2023,"Breeders' Cup, KTDF"
Temple City,2005,Dark Bay,16.3h,Dynaformer,Curriculum,Danzig,,,Private,2011,"Breeders' Cup, KTDF"
